City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
117,sonoita,0,MX,1580454300,38,31.85,-112.83,51.01,4.41
118,ambilobe,91,MG,1580454301,73,-13.2,49.05,81.52,5.61
119,kahului,40,US,1580454217,73,20.89,-156.47,71.6,5.82
120,iqaluit,40,CA,1580454301,76,63.75,-68.51,-9.0,20.8
121,payakumbuh,100,ID,1580454301,70,-0.22,100.63,79.48,4.52
122,slavjanovo,40,BG,1580454197,79,43.47,24.87,43.0,6.93
123,sinegorskiy,100,RU,1580454302,80,48.01,40.84,33.94,5.77
124,sorland,40,NO,1580454302,59,67.67,12.69,37.4,20.8
125,lebu,0,CL,1580454302,87,-37.62,-73.65,57.67,7.99
126,shingu,75,JP,1580454302,42,33.73,135.98,46.4,27.51
127,careiro da varzea,75,BR,1580454303,88,-3.2,-59.81,78.8,1.12
128,killybegs,100,IE,1580454303,96,54.63,-8.45,51.01,10.0
129,semirara,49,PH,1580454303,78,12.07,121.4,77.99,24.25
130,lagoa,68,PT,1580454303,88,39.05,-27.98,62.33,14.47
131,cabo san lucas,75,MX,1580454304,67,22.89,-109.91,59.0,4.7
132,narsaq,44,GL,1580454304,45,60.92,-46.05,1.4,9.17
133,chicama,90,PE,1580454304,94,-7.84,-79.15,69.8,8.05
134,wuwei,21,CN,1580454077,26,37.93,102.64,31.14,5.59
135,bac lieu,59,VN,1580454189,45,9.29,105.72,88.21,16.44
136,mahebourg,75,MU,1580454305,70,-20.41,57.7,84.2,11.41
137,bardiyah,0,LY,1580454305,72,31.76,25.09,58.64,11.05
138,kruisfontein,0,ZA,1580454305,52,-34.0,24.73,76.75,4.29
139,tuatapere,32,NZ,1580454305,72,-46.13,167.68,57.99,18.99
140,moskovskiy,40,RU,1580454306,96,55.6,37.35,32.0,2.24
141,harper,76,LR,1580454306,94,4.38,-7.72,75.6,2.04
142,cortes,78,ES,1580454306,93,41.94,-1.44,46.4,2.24
143,puri,75,IN,1580454306,61,19.8,85.85,77.0,4.7
144,husavik,90,IS,1580454306,86,66.04,-17.34,33.8,18.34
145,san andres,20,CO,1580454054,74,12.58,-81.7,80.6,5.82
146,kimbe,84,PG,1580454307,82,-5.55,150.14,82.81,4.52
147,atambua,45,ID,1580454307,64,-9.11,124.89,84.25,6.76
148,mareeba,90,AU,1580454307,78,-17.0,145.43,84.99,13.87
149,san patricio,95,MX,1580454308,75,19.22,-104.7,75.11,4.32
150,khatanga,95,RU,1580454308,97,71.97,102.5,-23.48,5.7
151,tuktoyaktuk,75,CA,1580454308,75,69.45,-133.04,-18.4,2.24
152,visnes,75,NO,1580454308,81,59.36,5.22,45.0,19.46
153,chapais,90,CA,1580454309,76,49.78,-74.85,-7.6,3.44
154,hammerfest,100,NO,1580454243,73,70.66,23.68,26.6,43.62
155,adrar,17,MR,1580454310,12,20.5,-10.07,57.47,10.74
156,marawi,45,PH,1580454310,73,8.0,124.29,82.99,10.0
157,laguna,1,US,1580454310,93,38.42,-121.42,54.0,3.04
158,ahipara,4,NZ,1580454310,80,-35.17,173.17,75.99,13.11
159,kaitangata,65,NZ,1580454310,48,-46.28,169.85,62.01,8.01
160,viedma,23,AR,1580454311,36,-40.81,-63.0,66.43,5.32
161,pudozh,97,RU,1580454311,93,61.81,36.53,2.62,10.07
162,ambon,40,ID,1580454311,55,-3.7,128.18,91.4,13.87
163,yerbogachen,100,RU,1580454311,93,61.28,108.01,-7.73,11.12
